Model,Accuracy,Precision,Recall,F1,Balanced Accuracy,ROC AUC,MCC
Logistic Regression,0.9625,0.4,1.0,0.5714285714285714,0.9807692307692308,0.9793447293447294,0.6201736729460422
Decision Tree,0.9625,0.4,1.0,0.5714285714285714,0.9807692307692308,0.9807692307692308,0.6201736729460422
Random Forest,0.9625,0.4,1.0,0.5714285714285714,0.9807692307692308,0.9886039886039886,0.6201736729460422
XGBoost,0.9625,0.4,1.0,0.5714285714285714,0.9807692307692308,0.9779202279202279,0.6201736729460422
Gradient Boosting,0.9625,0.4,1.0,0.5714285714285714,0.9807692307692308,0.9807692307692308,0.6201736729460422
Support Vector Machine,0.9583333333333334,0.375,1.0,0.5454545454545454,0.9786324786324787,0.9814814814814815,0.5991446895152781
KNN,0.9541666666666667,0.35294117647058826,1.0,0.5217391304347826,0.9764957264957265,0.9761396011396011,0.5799568299323827
Naive Bayes,0.95,0.3125,0.8333333333333334,0.45454545454545453,0.8931623931623931,0.9857549857549858,0.49215456638754984
